Age,NOC,Sport
18.0,GDR,Canoeing
18.0,GDR,Canoeing
27.0,GDR,Weightlifting
30.0,HUN,Equestrianism
30.0,HUN,Equestrianism
23.0,GDR,Athletics
42.0,AUS,Shooting
19.0,GDR,Gymnastics
19.0,GDR,Gymnastics
19.0,GDR,Gymnastics
19.0,GDR,Gymnastics
19.0,GDR,Gymnastics
19.0,GDR,Gymnastics
20.0,PRK,Weightlifting
23.0,GDR,Shooting
22.0,GBR,Rowing
27.0,JAM,Athletics
27.0,JAM,Athletics
21.0,GDR,Athletics
21.0,GDR,Athletics
27.0,GDR,Diving
27.0,GDR,Diving
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
24.0,GDR,Handball
25.0,GDR,Rowing
19.0,GBR,Judo
35.0,AUS,Shooting
34.0,HUN,Sailing
29.0,HUN,Sailing
26.0,GDR,Fencing
26.0,GDR,Fencing
22.0,GBR,Athletics
28.0,GDR,Athletics
20.0,AUS,Athletics
27.0,GBR,Athletics
34.0,GDR,Shooting
26.0,HUN,Water Polo
22.0,HUN,Weightlifting
19.0,GDR,Wrestling
34.0,HUN,Modern Pentathlon
34.0,HUN,Modern Pentathlon
25.0,HUN,Equestrianism
25.0,HUN,Equestrianism
32.0,HUN,Handball
26.0,GDR,Athletics
22.0,FRA,Athletics
25.0,URS,Football
25.0,GBR,Athletics
25.0,GBR,Athletics
20.0,GBR,Swimming
20.0,GBR,Swimming
20.0,GBR,Swimming
25.0,FRA,Rowing
18.0,GDR,Swimming
18.0,GDR,Swimming
20.0,GBR,Athletics
20.0,GBR,Athletics
27.0,URS,Sailing
28.0,FRA,Rowing
25.0,URS,Shooting
30.0,ITA,Volleyball
34.0,GBR,Rowing
18.0,ITA,Canoeing
28.0,URS,Hockey
24.0,IND,Hockey
25.0,GBR,Weightlifting
21.0,URS,Archery
30.0,URS,Handball
22.0,URS,Water Polo
17.0,URS,Swimming
42.0,URS,Athletics
22.0,URS,Basketball
22.0,URS,Judo
29.0,GDR,Athletics
28.0,HUN,Basketball
26.0,GDR,Rowing
26.0,GDR,Sailing
27.0,GDR,Football
16.0,GBR,Swimming
16.0,GBR,Swimming
16.0,GBR,Swimming
22.0,HUN,Athletics
25.0,PRK,Boxing
26.0,PRK,Wrestling
